Location,Lat,Lon
Aburoc,10.12681,32.09322
Aduel,6.62357,29.89612
AjuongThok_RC,9.96076,30.27604
Ajuong Thok,9.96076,30.27604
Akobo Town,7.790557363,33.00561721
Akot,6.54613,30.0391
Ameit,9.67246,28.45596
Ariath,9.1043,27.2219
Aweil Town,8.77128,27.3935
Bentiu,9.24809,29.78961
Bentiu_PoC,9.2537,29.7902
Bor Town,6.21258,31.56106
Bor_PoC,6.184419,31.60706
Bunj,9.9685,33.7571
Chukudum,4.2301,33.4939
Cueibet Town,6.984,29.2625
DeimZubier,7.7166,26.1993
Diel,9.37625,31.30923
Dome,8.861,32.5522
Gogrial,8.53665,28.09966
Gok-Machar,9.21668,26.85345
Jamjang,9.92915,30.2842
Jikmir,8.4519,33.1922
Jikou,8.3818,33.7755
Juba Town,4.8321638,31.6139509
Kapoeta Town,4.77314,33.59037
Katodori,4.7115,33.523
Kiir Adem,9.51198,26.83523
Koch Town,8.59362,29.99361
Kodok,9.8988,32.116
Kuajok,8.285,27.97617
Kuich,8.5833,33.0004
Kurenge,8.5617,33.07498
Lankien,8.5253,32.06165
Longiro,4.8972,32.6024
Magwi Town,4.1283,32.302
Malakal PoC,9.52776,31.66261
Malakal Town,9.52776,31.66261
Malualkon,9.02174,27.62747
Marial Baai,9.1026,26.8484
Maridi Town,4.91286,29.47341
Mathiang,8.8609,33.5961
Melut Town,10.43826,32.20069
Meram,9.60542,27.72448
Mingkaman,6.047077253,31.50505981
Mwot Tot,8.16562,32.05157
Narus,4.5109,34.1674
NewFangak,9.4074,31.1635
Nimule,3.57167,32.07387
Nyal,7.729129028,30.24641917
Nyamlel Town,9.1281,26.9735
Paloich,10.45709,32.5419
Pamir_RC,9.9272,30.35503
Panyagor,7.16833,31.41167
Pathai,8.0701,31.8353
Pibor Town,6.79993,33.12955
Pieri,8.04082,32.02899
Puktap,7.45798,31.41277
Raja Town,8.4617,25.6852
Renk Town,11.74197783,32.81476112
Rubkona Town,9.2889,29.79124
Rumbek Town,6.80665,29.67695
Ruplet,8.5666,32.942
Tonga,9.47419,31.03968
Torit Town,4.41004,32.57213
Udier,9.31,33.68
Ulang Town,8.6541,32.7166
Wanyjok,9.012245125,27.57070301
Warawar,9.14427,27.612
Wau Town,7.69834,27.9935
Yambio Town,4.569000977,28.39728856
Yei Town,4.09233,30.67651
Yirol Town,6.553757835,30.49935093
Yamding,8.6309,32.8559
Yuai,7.901,31.88833
