Location,County,State
Aburoc,Fashoda,Upper Nile
Aduel,Rumbek East,Lakes
Ajuong Thok,Pariang,Unity
AjuongThok_RC,Pariang,Unity
Akobo Town,Akobo,Jonglei
Akot,Rumbek East,Lakes
Ariath,Aweil North,Northern Bahrel Ghazal
Aweil Town,Aweil Centre,Northern Bahrel Ghazal
Bentiu,Rubkona,Unity
Bentiu_PoC,Rubkona,Unity
Bor PoC,Bor South,Jonglei
Bor Town,BorSouth,Jonglei
Chukudum,Budi,Eastern Equatoria
Cueibet Town,Cueibet,Lakes
Deim Zubier,Raja,Western Bahrel Ghazal
Dome,Ulang,Upper Nile
Gok-Machar,Aweil North,Northern Bahrel Ghazal
Imehejek,Lafon,Eastern Equatoria
Jamjang,Pariang,Unity
Jikmir,Luakpiny-Nasir,Upper Nile
Jikou,Maiwut,Upper Nile
Juba Town,Juba,Central Equatoria
Kapoeta Town,Kapoeta South,Eastern Equatoria
Katodori,Kapoeta East,Eastern Equatoria
Koch Town,Koch,Unity
Kodok,Fashoda,Upper Nile
Kuajok,Gogrial West,Warrap
Kuich,Ulang,Upper Nile
Kurenge,Luakpiny-Nasir,Upper Nile
Lankien,Nyirol,Jonglei
Location,County,State
Longiro,Lafon,Eastern Equatoria
Magwi Town,Magwi,Eastern Equatoria
Malakal PoC,Malakal,Upper Nile
Malakal Town,Malakal,Upper Nile
Malualkon,Aweil East,Northern Bahrel Ghazal
Marial Baai,Aweil West,Northern Bahrel Ghazal
Maridi Town,Maridi,Western Equatoria
Mathiang,Longochuk,Upper Nile
Melut Town,Melut,Upper Nile
Mingkaman,Awerial,Lakes
Mwot Tot,Uror,Jonglei
Narus,Kapoeta East,Eastern Equatoria
New Fangak,Fangak,Jonglei
Nimule,Magwi,Eastern Equatoria
Nyal,Panyijiar,Unity
Nyamlel Town,Aweil West,Northern Bahrel Ghazal
Nyang,YirolEast,Lakes
Paloich,Melut,Upper Nile
Pamir_RC,Pariang,Unity
Panyagor,TwicEast,Jonglei
Pathai,Uror,Jonglei
Pibor Town,Pibor,Jonglei
Pieri,Uror,Jonglei
Raja Town,Raja,Western Bahrel Ghazal
Renk Town,Renk,Upper Nile
Rubkona Town,Rubkona,Unity
Rumbek Town,Rumbek Centre,Lakes
Ruplet,Ulang,Upper Nile
Tonga,Panyikang,Upper Nile
Torit Town,Torit,Eastern Equatoria
Udier,Longochuk,Upper Nile
Ulang Town,Ulang,Upper Nile
Wanglei,Twic East,Jonglei
Wanyjok,Aweil East,Northern Bahrel Ghazal
Warawar,Aweil East,Northern Bahrel Ghazal
Wau Town,Wau,Western Bahrel Ghazal
Yambio Town,Yambio,Western Equatoria
Yamding,Ulang,Upper Nile
Yirol Town,Yirol West,Lakes
Yuai,Uror,Jonglei
